(2020-01-28 18:38:55.060697) | Strategy init with wallet: BNBUSDT
(2020-01-28 18:38:55.080543) | Neuron initiated with id 57 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 58 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 59 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 60 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 61 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 62 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 63 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 64 in layer 0
(2020-01-28 18:38:55.080543) | Neuron initiated with id 65 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 66 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 67 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 68 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 69 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 70 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 71 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 72 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 73 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 74 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 75 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 76 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 77 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 78 in layer 0
(2020-01-28 18:38:55.081539) | Neuron initiated with id 79 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 80 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 81 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 82 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 83 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 84 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 85 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 86 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 87 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 88 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 89 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 90 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 91 in layer 0
(2020-01-28 18:38:55.082533) | Neuron initiated with id 92 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 93 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 94 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 95 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 96 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 97 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 98 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 99 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 100 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 101 in layer 0
(2020-01-28 18:38:55.083410) | Neuron initiated with id 102 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 103 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 104 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 105 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 106 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 107 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 108 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 109 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 110 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 111 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 112 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 113 in layer 0
(2020-01-28 18:38:55.084406) | Neuron initiated with id 114 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 115 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 116 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 117 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 118 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 119 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 120 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 121 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 122 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 123 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 124 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 125 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 126 in layer 0
(2020-01-28 18:38:55.085682) | Neuron initiated with id 127 in layer 0
(2020-01-28 18:38:55.086687) | Neuron initiated with id 0 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 1 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 2 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 3 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 4 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 5 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 6 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 7 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 8 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 9 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 10 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 11 in layer 1
(2020-01-28 18:38:55.086687) | Neuron initiated with id 0 in layer 2
(2020-01-28 18:38:55.086687) | Assigned random weights
(2020-01-28 18:38:55.086687) | Loading in model line: ['1', '0', '[0.32265035647279683,0.8196113697304074,0.013109385219212788,0.9788680821926101,0.2639174939260349,0.047860311934016075,0.052941082781520654,0.32711181610826634,0.9462677973490079,0.6136668775849016,0.11155034820413445,0.5165509730066689,0.5854032909706026,0.2781351073254468,0.6545338636759389,0.54725499237042,0.3808765239353519,0.8980740555241026,0.9555510632748434,0.7336941732234147,0.3247223334635151,0.784754641245535,0.9537257995227325,0.5691399666524909,0.6348040506030543,0.03895466293829397,0.21397940561252182,0.9093170892478708,0.27075661351976643,0.8013062536159196,0.9961600526350209,0.31493821781756326,0.467648312661475,0.9511763935742458,0.1539340028466203,0.5761281745813205,0.01826636123414882,0.30271053297186035,0.5678738187525147,0.21651704185127696,0.9466491850412261,0.10512868291262845,0.8681000567779038,0.5409129780367562,0.0350275378606425,0.7636366513878479,0.0889854930969396,0.290846222946299,0.020413720938836533,0.4937568917775107,0.5292571170136778,0.1296815187935917,0.1393266817022134,0.4701011503293895,0.9748379418551741,0.24972487883448868,0.5424514257001632,0.6342602052837817,0.734772450988596,0.30879415012871914,0.48239300174665967,0.2654903490176225,0.23262896759589724,0.9574985767273685,0.8917512955297309,0.9998530662824443,0.6758582572658496,0.2900899745813502,0.295615722303466,0.10369597854215384,0.878579992043315,0.40142178879274626,0.9802765146682325,0.7413692201837352,0.9709971272156209,0.780008018141195,0.3475324079196308,0.09374943427566218,0.31061086536740645,0.6416867231330716,0.36698481168317276,0.4850582671584751,0.7678298838444982,0.10020967281602189,0.7614671896693671,0.6150987311248997,0.6197270102434005,0.40663609935288225,0.4680110126555215,0.14650915428222433,0.6654613561703403,0.62859433169169,0.414287463773911,0.576306808292783,0.8066670801652811,0.041150224121897616,0.8601250739318714,0.8996359970601806,0.2210329626935721,0.7448473135647165,0.4488035413025251,0.7686747074007966,0.43566550288744876,0.8863762674553902,0.6745663726555429,0.24168704504173422,0.4692964519813453,0.11472993907467544,0.23156845893182143,0.6649518782747532,0.27808802207402983,0.9563883869798022,0.47914818705054074,0.8947417255353441,0.2709785816411072,0.9847492872268888,0.29380184081160776,0.5436708756069074,0.4075380794842003,0.020714321667198554,0.566909848770196,0.009864661392235297,0.01713979741448579,0.6601821793771878,0.7348572719115394,0.5581821729402151,0.227839978228628,0.811028172752751]', '0']
(2020-01-28 18:38:55.096702) | Loading in model line: ['1', '1', '[0.26890991770953965,0.692045506384182,0.48725300292379037,0.75529369944715,0.08186971261347098,0.09053995715148333,0.9398374556534017,0.3151630497889709,0.3467063033622081,0.5088550431384721,0.25668979807727743,0.7671928563932224,0.4606475048777511,0.024319774777037395,0.7351373228957602,0.2528105348557981,0.8319879517016454,0.2368037667845191,0.9313563060212116,0.5421858868838487,0.4204156811398869,0.11667738139481387,0.8495527111958615,0.6149525681885791,0.40568531082664006,0.8397384846917579,0.9504380033204977,0.2149168138550136,0.5117583434952633,0.3040000791251576,0.5526766438498325,0.5107865688589971,0.11670265686591752,0.45216603984651116,0.7400187254988869,0.9953738225093209,0.2661236563167495,0.5985435009253908,0.19148144525513489,0.45998143882068676,0.6814382384502712,0.0016352262411803986,0.2851841306034254,0.4983650953534179,0.31517664852272986,0.38355261914017635,0.13621756894979287,0.9990846078587561,0.5536322123852229,0.11213620933610147,0.8315962589933522,0.09442352167353296,0.7741476109056017,0.4193439414429805,0.6601686793124732,0.9304927307050499,0.14825410946444528,0.103947488850762,0.8623006567352178,0.3596524293725962,0.7673700299993388,0.0675356954131845,0.6438717733914904,0.6973336435515288,0.5362864791317922,0.44815328992491554,0.6730436770975009,0.48463159859326777,0.5537855699928238,0.6459516087786974,0.9085248410458645,0.728239794716604,0.1730437112058285,0.3211085941060092,0.5156674529064551,0.8656469271556327,0.8862287870039465,0.31823111621574485,0.15016672645057383,0.04957270660462143,0.19952481407694556,0.9104275935517101,0.5515143068353071,0.48205282393730475,0.3027077800401199,0.1783913917290073,0.99635298354645,0.22988124069712446,0.4420083835401728,0.5010267709224202,0.9869318549061024,0.38236854893600536,0.8876017300668945,0.32822429148130283,0.9956098330228957,0.3116189031256015,0.652131349678853,0.8576213452087841,0.7154470526218677,0.7681045410967569,0.9907609519969748,0.7837123903466968,0.7714035167009359,0.8625958741235635,0.09950242750564575,0.8631212083718549,0.20962243644202083,0.6248152020886178,0.6043051060413582,0.7735769950752625,0.6476845710504963,0.8837362164555889,0.9621199159930818,0.9157995441186189,0.5171198984451538,0.7892933817038407,0.5610348991902503,0.10536361168443864,0.43010640791869126,0.7466688168495467,0.4087047697875985,0.2235077630410952,0.11167363821099574,0.9253314010870239,0.5643322402372399,0.8948764233658938,0.8195355846702105,0.630900444979046]', '0']
(2020-01-28 18:38:55.097705) | Loading in model line: ['1', '2', '[0.728675578128091,0.6924541367604211,0.7110058821286649,0.4844427290460033,0.3538997765979116,0.7019443681607478,0.6580313618443108,0.5492388298636237,0.8083731096650226,0.3884150179474506,0.7975039884816539,0.9512302062418772,0.003363412437274116,0.5741290006525467,0.278066868054221,0.8966598771052212,0.7595043193166832,0.226904334949235,0.6658661964415632,0.13274393172375132,0.14203856892750077,0.9441587801859137,0.1198978222885626,0.8760857223511115,0.8054574473699702,0.9533312459676724,0.708074038086105,0.8266273730099146,0.16368074215312067,0.5077939488993287,0.7240160793134632,0.3526489326915839,0.5596905830580494,0.9373662171259078,0.3411036532567253,0.284208036159189,0.35494573562710063,0.24277162360209137,0.06431653227741285,0.5242013513838732,0.2274269170585982,0.3246183984702993,0.2910057079652173,0.9520722477822363,0.35992746278100374,0.21362445904056038,0.09352728034654834,0.9125865682812484,0.1687106142928987,0.6795427213241968,0.5010261290498412,0.3624463552771322,0.5988360235831242,0.5045522866072631,0.26149775889467874,0.9722264710528334,0.12340721589500114,0.7872190871275686,0.873541598334346,0.4092594058996697,0.059326309474968086,0.4906455989341709,0.009800552117440908,0.474370389198671,0.9125793654616804,0.4446300888884025,0.7796797386239886,0.2348335739407551,0.554131207444287,5.452016853957353e-05,0.20065350827182038,0.81513546753377,0.03330332229131516,0.4849930820995032,0.9120038043460312,0.8494252421803857,0.3074471887805156,0.5232895123004598,0.5279956268431975,0.6430090880988046,0.40964538918021587,0.8881381611448722,0.961727121179595,0.8943648672600147,0.7373450893927394,0.700359047836374,0.11721862933147609,0.4753338933759156,0.4135159429368128,0.1067380947490918,0.22677025406597118,0.9849872831045798,0.6427949155622609,0.9036702493942707,0.04958917290548359,0.6719645182338434,0.3891087438955283,0.4945363574171565,0.30757312879098153,0.6352071110598168,0.7930599285442205,0.9516161227458595,0.690444865268307,0.6244843453819708,0.3104339524390243,0.11540798819146247,0.7233615821442441,0.6246408908841194,0.43575076821705594,0.5286782133088567,0.19264800614916555,0.17328910372862538,0.11119258638746043,0.8931126429822842,0.47856736452111515,0.6270026362510378,0.21555039458213032,0.6101667353593853,0.44145106089930464,0.4351319840827458,0.017549696527848213,0.2440361754954813,0.3644660183454633,0.2552200701239469,0.5892705302669046,0.410057402153456,0.7244054378045011,0.81565754713062]', '0']
(2020-01-28 18:38:55.098701) | Loading in model line: ['1', '3', '[0.48395444884379535,0.9057404886123762,0.9051134235072693,0.06695712356020889,0.9390969441268386,0.9442157575782049,0.18483442246704074,0.9485830063341409,0.18583391794508497,0.6797095752942135,0.5696101409414005,0.7270978155226021,0.051742578665064376,0.9335290602234632,0.1349269771460636,0.953006032288848,0.7428698420999432,0.1927676609294442,0.4268605915954312,0.2915649621307942,0.11791725436907641,0.7742894369699375,0.7834454679748479,0.7476826708654,0.3164793511246359,0.013968343627103641,0.4089944003770155,0.9555907350269609,0.6205662996002207,0.9558188245392467,0.14936438618517645,0.4720488449094703,0.7723738418603601,0.7074255051323725,0.4283504625443051,0.5234604490109398,0.9834776497197115,0.60662049198966,0.8200949728854915,0.7687019266928663,0.1207879342564454,0.9677828862055944,0.18251846317258258,0.29063152142864024,0.20268868500344983,0.3471656536740825,0.4141171867883857,0.5031668101787359,0.2495387083398506,0.8764713776670275,0.3320098113441369,0.2133575031025311,0.5420288167502971,0.16782686341346753,0.1448442771942472,0.8271219354158256,0.57180795472805,0.7933328434180236,0.4941394524531061,0.05668954145148897,0.21940174016011682,0.6636051811251262,0.1930905951339893,0.442735479200532,0.08126380560781332,0.5441640624125708,0.49674769013663955,0.493837162948517,0.8369700444955832,0.2158628711937648,0.5501176266680392,0.7694524224824268,0.18064098956630414,0.5663274798250071,0.5659706466980188,0.20556841168028672,0.30066849466975665,0.6331328200298332,0.12763470305928915,0.47091656336386656,0.7003489893596161,0.45261223397484696,0.5165332384102307,0.8905040758444646,0.17729770599398786,0.7697887559378223,0.7262232206779111,0.3523173574102244,0.8901980485927511,0.5581251398221007,0.11713269107215374,0.6354196086845316,0.739298722417829,0.277685282187204,0.25245148068017864,0.3227817738026405,0.24252205427328055,0.26143894043782634,0.36324522517905034,0.20447610768312174,0.31875375367268266,0.8975817774707686,0.21402803961114114,0.5122463788251912,0.42065693223589373,0.16276741354046576,0.5512931941063518,0.5076416772252585,0.16120823287693775,0.11767704577810534,0.5827107483653559,0.056717472758649023,0.13963389627047318,0.33298468044929475,0.8856926193560881,0.4906931499784757,0.2824557600746256,0.8509853981697507,0.5009224343476066,0.59689050927177,0.33907216048265665,0.19291948998065267,0.13728967687873483,0.9224873669686647,0.7638770236344984,0.32545422667724777,0.2990747480581779,0.4539209124100187]', '0']
(2020-01-28 18:38:55.113384) | Loading in model line: ['1', '4', '[0.3635485523882269,0.4875038937761379,0.471015128670887,0.33823876869722436,0.7908145709571914,0.34395090274615836,0.9954445303021526,0.5273947654508386,0.9332776410393374,0.5372325805692886,0.3289319400790468,0.18494975095130195,0.04399246668147894,0.2754685232584768,0.5526171785457543,0.8902006779879764,0.6978588307142266,0.2574849795775054,0.452067287324992,0.5503525184774285,0.3364815932730809,0.09183365404430666,0.818719152758442,0.7176923696970603,0.21678350816400038,0.11319634496155206,0.06139227085790755,0.04514198190312757,0.2653760686279576,0.8090877160176189,0.09851721404746616,0.23135444287282247,0.32392121080588165,0.946628345168576,0.02944669043753212,0.8279007442524763,0.635641750449577,0.08670458642554091,0.9998268863172693,0.1536019248159236,0.08165200695501906,0.9000971741453075,0.3184774887448535,0.4892435177855773,0.22869959857252853,0.2091406574624377,0.8636861688627872,0.6496894704932759,0.2627500421791481,0.18581168459100728,0.01902280820518809,0.8384279893123874,0.46580427107307376,0.4407011316967917,0.5815707851063643,0.15123911471336293,0.19076885711600722,0.34351361900966393,0.5514646909866173,0.01842643338694172,0.19968570747544956,0.8142733536134421,0.7409209135571608,0.6997545183136182,0.9615135033572464,0.2897689260176908,0.4564613542883591,0.9056382377134798,0.7716420826443646,0.06639004431497875,0.6991394578983892,0.16621322971555375,0.6660288677262702,0.18399724486511537,0.36499152677685154,0.11686699252718713,0.21051489733812767,0.17510296548157167,0.44931497092267214,0.7492900289337824,0.2876832242275964,0.544580922386017,0.4890967788760182,0.5236897566475552,0.1361704033403094,0.2027399902695326,0.27099942296217006,0.14589150953639551,0.7915643431230407,0.9133765056725045,0.6121760196640024,0.4941842687627589,0.03691704928975237,0.3767607081816271,0.3096976022878921,0.9423040804190244,0.736887502164784,0.16934613414514488,0.005841384124845139,0.9396003557065488,0.10847318816728335,0.2057149530614476,0.4681290649159443,0.06603013334597307,0.956929211326225,0.8875950012373632,0.27508328762518275,0.9154532160320513,0.8719825488965298,0.2675644320157392,0.3638849922046552,0.20756266486226482,0.17965934759107505,0.9281837184585059,0.40488816032198083,0.8991841968858006,0.9126318543199801,0.7192749228849551,0.32656015367344693,0.6988008172599592,0.8334825752310339,0.6418729076771047,0.8254522438775115,0.27112097685559444,0.05684331449762947,0.48984811077552226,0.5045274099994439,0.180362829461897]', '0']
(2020-01-28 18:38:55.114417) | Loading in model line: ['1', '5', '[0.7539879527582402,0.624434273332406,0.27564821410607265,0.9336558093215279,0.5701744683406369,0.3882211165037588,0.31508155773224156,0.34334479400028073,0.7316714392604058,0.43814628037976056,0.03518422890153006,0.41811243888061056,0.8341347688544261,0.035157652822722874,0.5420394413561702,0.7408625387109218,0.2314993363228922,0.032685224498980814,0.3083721073221146,0.5878401168701213,0.5688962862462267,0.015999744946611938,0.43043744011558016,0.09889847750737446,0.640692101028592,0.8443428473597134,0.1883041907961619,0.908942151491017,0.7211667823173934,0.6126739889854845,0.5352615848446918,0.3173001257793867,0.05448636930317641,0.29229288094765626,0.5114218834578723,0.5499903670723452,0.40453771299530294,0.07427436815564781,0.39318063064014785,0.17073588205132506,0.17730559636723253,0.2945164592012651,0.4181200912824762,0.05733754701655147,0.3773103925584147,0.29805650467476696,0.43480403570135184,0.6370325918555761,0.5368671545030017,0.599759636730067,0.17108748898416448,0.806076102552401,0.49520285099134786,0.9538560999486745,0.16642399023945442,0.7981732773840732,0.868513286276937,0.6009643469083262,0.9730596127882741,0.13097028631314245,0.18921676583253633,0.9930306577928119,0.7930594624311784,0.49366587251211014,0.577262267251655,0.3080632222767411,0.9606126411389896,0.9503961514534859,0.2278501808640615,0.9550864957206883,0.9423931390472056,0.3564104245965275,0.6247196103651784,0.3988403642134508,0.565883156520615,0.41131378761114257,0.5954505602435533,0.8701536654373414,0.19081122332211575,0.8010109443616718,0.19980167446738717,0.7679250039959484,0.9104489869255031,0.1490207940309135,0.003869326773111026,0.11856260440878286,0.8682253343883095,0.3509375639890594,0.5159485726082784,0.21290891580146187,0.650389915258605,0.27917683802098137,0.7571572706299071,0.7898012158127662,0.11458117991849048,0.6636949274130455,0.2573676519737247,0.42524128596712296,0.3882612298483896,0.8646626012205255,0.7935548790752927,0.6980563245447818,0.28767352871177765,0.3607584244341788,0.2780912327858571,0.7622788957385025,0.7988872801503393,0.15961470385743004,0.3856869717856005,0.7530886364133982,0.43047921737332806,0.8436276337973845,0.7827700507229622,0.32518105249526996,0.79189702905818,0.10824998004642217,0.4658757673226399,0.7478307438999401,0.04008814619681034,0.8801033659764922,0.868123771423323,0.54940474793143,0.6852769493131321,0.6260690156237639,0.9266426250801862,0.3802393178080187,0.8535899532672998,0.126662339492697]', '0']
(2020-01-28 18:38:55.131478) | Loading in model line: ['1', '6', '[0.478450478620319,0.6695978291848256,0.7530790961597128,0.526175024683925,0.3386871630035412,0.19199504646479926,0.6345281302141453,0.17720277038406163,0.28062960259692993,0.7078261116497834,0.48372749204911314,0.5710257592064573,0.2744454763823695,0.7250099582084749,0.5812775068085886,0.03468797245888189,0.5731514499186009,0.22582716546063608,0.03204797530102377,0.5351428078854847,0.15751394470339541,0.2706927792289824,0.1040776300704973,0.836028961095858,0.5461150312237278,0.933372283798239,0.8331010034771409,0.8623408659640421,0.8814097100892299,0.20618783520357908,0.5020594921171749,0.3426092326979471,0.8107353371472253,0.7685534604384374,0.9655538435480846,0.7110077955466774,0.041486412932408734,0.760401504649132,0.9596079518843907,0.5105076611112389,0.259189357286697,0.286699129807103,0.4387953889498094,0.5346879912288252,0.16989764070784896,0.961403188487242,0.7809912814331051,0.3695412165170374,0.6148258742372024,0.3732565189582404,0.9495827658605607,0.8403219644087193,0.39613774829317905,0.6410416329207965,0.36408312999486825,0.5152064906869925,0.17409274783213757,5.512737827040315e-05,0.6070563136863999,0.30066266054266977,0.7215869381539693,0.25282658765569543,0.4318185931871349,0.26022988246120715,0.5336058413244391,0.6777789510961375,0.376992621804358,0.9097239617194719,0.5892204077240252,0.7500883423237548,0.8439584689337772,0.5998850851646679,0.7588471381095838,0.41640373131400354,0.11394348407692856,0.4335450453792511,0.20489750030014164,0.5512721563714048,0.2297408158265215,0.13612379035381617,0.27827933997232834,0.10731739401732077,0.8888570626023146,0.1366812608829866,0.5851352472579657,0.826393259887984,0.5799968902005638,0.4637629512225935,0.7378931147185837,0.7803723549122782,0.8523667655028614,0.2827968353609255,0.2020247779751707,0.4979264791744502,0.5318984179963542,0.11900129946521176,0.52512197726823,0.9634711568285039,0.03617226720187516,0.22696346279507362,0.3291176885355429,0.725960779264159,0.9650749930082456,0.4595946100881928,0.12418530879465217,0.2135129190017907,0.15032334419360305,0.9686180553137942,0.7727176351631951,0.2810571130483118,0.052712964448623945,0.5037663975452772,0.9387061586024856,0.2081713027009452,0.8434438947385443,0.1288155056040834,0.33386875110441094,0.7503845342022231,0.38605720314742553,0.3130211860271179,0.06985121627936586,0.6064270740736644,0.6186751074515484,0.8213345153969396,0.1817308341909526,0.48212378330490324,0.12834839110616092,0.1369613684760335]', '0']
