(2020-02-03 22:31:21.200027) | Strategy init with wallet: BNBUSDT
(2020-02-03 22:31:21.243571) | Neuron initiated with id 151 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 152 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 153 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 154 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 155 in layer 0
(2020-02-03 22:31:21.243571) | Neuron initiated with id 156 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 157 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 158 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 159 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 160 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 161 in layer 0
(2020-02-03 22:31:21.244569) | Neuron initiated with id 162 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 163 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 164 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 165 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 166 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 167 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 168 in layer 0
(2020-02-03 22:31:21.245566) | Neuron initiated with id 169 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 170 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 171 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 172 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 173 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 174 in layer 0
(2020-02-03 22:31:21.246563) | Neuron initiated with id 175 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 176 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 177 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 178 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 179 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 180 in layer 0
(2020-02-03 22:31:21.247562) | Neuron initiated with id 181 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 182 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 183 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 184 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 185 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 186 in layer 0
(2020-02-03 22:31:21.248560) | Neuron initiated with id 187 in layer 0
(2020-02-03 22:31:21.258863) | Neuron initiated with id 188 in layer 0
(2020-02-03 22:31:21.258863) | Neuron initiated with id 189 in layer 0
(2020-02-03 22:31:21.258863) | Neuron initiated with id 190 in layer 0
(2020-02-03 22:31:21.258863) | Neuron initiated with id 191 in layer 0
(2020-02-03 22:31:21.258863) | Neuron initiated with id 192 in layer 0
(2020-02-03 22:31:21.259858) | Neuron initiated with id 193 in layer 0
(2020-02-03 22:31:21.259858) | Neuron initiated with id 194 in layer 0
(2020-02-03 22:31:21.259858) | Neuron initiated with id 195 in layer 0
(2020-02-03 22:31:21.259858) | Neuron initiated with id 196 in layer 0
(2020-02-03 22:31:21.259858) | Neuron initiated with id 197 in layer 0
(2020-02-03 22:31:21.260856) | Neuron initiated with id 198 in layer 0
(2020-02-03 22:31:21.260938) | Neuron initiated with id 199 in layer 0
(2020-02-03 22:31:21.260938) | Neuron initiated with id 0 in layer 1
(2020-02-03 22:31:21.260938) | Neuron initiated with id 1 in layer 1
(2020-02-03 22:31:21.261885) | Neuron initiated with id 2 in layer 1
(2020-02-03 22:31:21.261885) | Neuron initiated with id 3 in layer 1
(2020-02-03 22:31:21.261885) | Neuron initiated with id 4 in layer 1
(2020-02-03 22:31:21.262887) | Neuron initiated with id 5 in layer 1
(2020-02-03 22:31:21.262887) | Neuron initiated with id 6 in layer 1
(2020-02-03 22:31:21.262887) | Neuron initiated with id 7 in layer 1
(2020-02-03 22:31:21.262887) | Neuron initiated with id 8 in layer 1
(2020-02-03 22:31:21.263903) | Neuron initiated with id 9 in layer 1
(2020-02-03 22:31:21.263903) | Neuron initiated with id 0 in layer 2
(2020-02-03 22:31:21.263903) | Neuron initiated with id 1 in layer 2
(2020-02-03 22:31:21.264900) | Neuron initiated with id 2 in layer 2
(2020-02-03 22:31:21.264900) | Neuron initiated with id 3 in layer 2
(2020-02-03 22:31:21.264900) | Neuron initiated with id 4 in layer 2
(2020-02-03 22:31:21.264900) | Neuron initiated with id 5 in layer 2
(2020-02-03 22:31:21.265899) | Neuron initiated with id 6 in layer 2
(2020-02-03 22:31:21.266273) | Neuron initiated with id 7 in layer 2
(2020-02-03 22:31:21.266273) | Neuron initiated with id 8 in layer 2
(2020-02-03 22:31:21.266273) | Neuron initiated with id 9 in layer 2
(2020-02-03 22:31:21.266273) | Neuron initiated with id 0 in layer 3
(2020-02-03 22:31:21.267270) | Assigned random weights
(2020-02-03 22:31:21.267486) | Loading in model line: ['1', '0', '[0.3612727272278785,0.3637062918]', '0.0']
Traceback (most recent call last):
  File "main.py", line 41, in <module>
    start = main()
  File "main.py", line 33, in __init__
    strategy = Strategy.Strategy(binance_client=client,wallet=wallet)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 32, in __init__
    self.train(network_da)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 47, in train
    fitness = eval(self.model)
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 45, in eval
    fitness = self.fitness(self.run_over_data(data=data, model=model,interval_size=self.model_interval))
  File "C:\Users\robbe\PycharmProjects\Cryp\Strategy.py", line 87, in run_over_data
    afwijkingen.append(abs(abs(model.predict(inputs=data[i:i + interval_size]))-abs(data[i+interval_size+1])))
  File "C:\Users\robbe\PycharmProjects\Cryp\AI\Model.py", line 46, in predict
    outputs = self.activation_function((weights@values)+biases)
TypeError: Object arrays are not currently supported
